Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,FlowGroupID,FlowMultiplierTypeID,Value,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Wetland: Estuarine Forested,21,21,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.3006,,,,,
,,,,,Wetland: Estuarine Forested,21,21,Net Growth Forest: Atmosphere -> Foliage [Type],,0.2854,,,,,
,,,,,Wetland: Estuarine Forested,21,21,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.1864,,,,,
,,,,,Wetland: Estuarine Forested,21,21,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1476,,,,,
,,,,,Wetland: Estuarine Forested,22,22,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0784,,,,,
,,,,,Wetland: Estuarine Forested,22,22,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.3035,,,,,
,,,,,Wetland: Estuarine Forested,22,22,Net Growth Forest: Atmosphere -> Foliage [Type],,0.2927,,,,,
,,,,,Wetland: Estuarine Forested,22,22,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.1773,,,,,
,,,,,Wetland: Estuarine Forested,22,22,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1481,,,,,
,,,,,Wetland: Estuarine Forested,23,23,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0768,,,,,
,,,,,Wetland: Estuarine Forested,23,23,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.3061,,,,,
,,,,,Wetland: Estuarine Forested,23,23,Net Growth Forest: Atmosphere -> Foliage [Type],,0.2994,,,,,
,,,,,Wetland: Estuarine Forested,23,23,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.1691,,,,,
,,,,,Wetland: Estuarine Forested,23,23,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.1486,,,,,
,,,,,Wetland: Estuarine Forested,24,24,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0753,,,,,
,,,,,Wetland: Estuarine Forested,24,24,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.3088,,,,,
,,,,,Wetland: Estuarine Forested,24,24,Net Growth Forest: Atmosphere -> Foliage [Type],,0.306,,,,,
